Country,Pharma_Sales_Variable,Pharma_Sales_Value,Life_Expectancy_Variable,Life_Expectancy_Value,Missingness_Indicator
Ireland,Total pharmaceutical sales,501.7,Females at age 40,44.2,0
Ireland,Total pharmaceutical sales,501.7,Males at age 40,40.7,0
Ireland,A-Alimentary tract and metabolism,54.4,Females at age 40,44.2,0
Ireland,A-Alimentary tract and metabolism,54.4,Males at age 40,40.7,0
Ireland,A02A-Antacids,0.0,Females at age 40,44.2,0
Ireland,A02A-Antacids,0.0,Males at age 40,40.7,0
Ireland,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),17.4,Females at age 40,44.2,0
Ireland,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),17.4,Males at age 40,40.7,0
Ireland,A10-Drugs used in diabetes,21.9,Females at age 40,44.2,0
Ireland,A10-Drugs used in diabetes,21.9,Males at age 40,40.7,0
Ireland,B-Blood and blood forming organs,23.7,Females at age 40,44.2,0
Ireland,B-Blood and blood forming organs,23.7,Males at age 40,40.7,0
Ireland,C-Cardiovascular system,61.3,Females at age 40,44.2,0
Ireland,C-Cardiovascular system,61.3,Males at age 40,40.7,0
Ireland,C01A-Cardiac glycosides,0.4,Females at age 40,44.2,0
Ireland,C01A-Cardiac glycosides,0.4,Males at age 40,40.7,0
Ireland,"C01B-Antiarrhythmics, Class I and III",0.6,Females at age 40,44.2,0
Ireland,"C01B-Antiarrhythmics, Class I and III",0.6,Males at age 40,40.7,0
Ireland,C02-Antihypertensives,4.3,Females at age 40,44.2,0
Ireland,C02-Antihypertensives,4.3,Males at age 40,40.7,0
Ireland,C03-Diuretics,4.2,Females at age 40,44.2,0
Ireland,C03-Diuretics,4.2,Males at age 40,40.7,0
Ireland,C07-Beta blocking agents,6.1,Females at age 40,44.2,0
Ireland,C07-Beta blocking agents,6.1,Males at age 40,40.7,0
Ireland,C08-Calcium channel blockers,5.9,Females at age 40,44.2,0
Ireland,C08-Calcium channel blockers,5.9,Males at age 40,40.7,0
Ireland,C09-Agents acting on the Renin-Angiotensin system,17.6,Females at age 40,44.2,0
Ireland,C09-Agents acting on the Renin-Angiotensin system,17.6,Males at age 40,40.7,0
Ireland,C10-Lipid modifying agents,18.2,Females at age 40,44.2,0
Ireland,C10-Lipid modifying agents,18.2,Males at age 40,40.7,0
Ireland,G-Genito urinary system and sex hormones,19.4,Females at age 40,44.2,0
Ireland,G-Genito urinary system and sex hormones,19.4,Males at age 40,40.7,0
Ireland,G03-Sex hormones and modulators of the genital system,8.6,Females at age 40,44.2,0
Ireland,G03-Sex hormones and modulators of the genital system,8.6,Males at age 40,40.7,0
Ireland,"H-Systemic hormonal preparations, excluding sex hormones and insulins",13.5,Females at age 40,44.2,0
Ireland,"H-Systemic hormonal preparations, excluding sex hormones and insulins",13.5,Males at age 40,40.7,0
Ireland,J-Antiinfectives for systemic use,18.0,Females at age 40,44.2,0
Ireland,J-Antiinfectives for systemic use,18.0,Males at age 40,40.7,0
Ireland,J01-Antibacterials for systemic use,12.6,Females at age 40,44.2,0
Ireland,J01-Antibacterials for systemic use,12.6,Males at age 40,40.7,0
Ireland,M-Musculo-skeletal system,17.3,Females at age 40,44.2,0
Ireland,M-Musculo-skeletal system,17.3,Males at age 40,40.7,0
Ireland,M01A-Antiinflammatory and antirheumatic products non-steroids,5.2,Females at age 40,44.2,0
Ireland,M01A-Antiinflammatory and antirheumatic products non-steroids,5.2,Males at age 40,40.7,0
Ireland,N-Nervous system,92.4,Females at age 40,44.2,0
Ireland,N-Nervous system,92.4,Males at age 40,40.7,0
Ireland,N02-Analgesics,14.4,Females at age 40,44.2,0
Ireland,N02-Analgesics,14.4,Males at age 40,40.7,0
Ireland,N05B-Anxiolytics,2.4,Females at age 40,44.2,0
Ireland,N05B-Anxiolytics,2.4,Males at age 40,40.7,0
Ireland,N05C-Hypnotics and sedatives,4.9,Females at age 40,44.2,0
Ireland,N05C-Hypnotics and sedatives,4.9,Males at age 40,40.7,0
Ireland,N06A-Antidepressants,18.4,Females at age 40,44.2,0
Ireland,N06A-Antidepressants,18.4,Males at age 40,40.7,0
Ireland,R-Respiratory system,43.3,Females at age 40,44.2,0
Ireland,R-Respiratory system,43.3,Males at age 40,40.7,0
Ireland,R03-Drugs for obstructive airway diseases,29.7,Females at age 40,44.2,0
Ireland,R03-Drugs for obstructive airway diseases,29.7,Males at age 40,40.7,0
Ireland,Products not elsewhere classified,158.5,Females at age 40,44.2,0
Ireland,Products not elsewhere classified,158.5,Males at age 40,40.7,0
Slovenia,Total pharmaceutical sales,354.6,Females at age 40,44.7,0
Slovenia,Total pharmaceutical sales,354.6,Males at age 40,39.2,0
Slovenia,A-Alimentary tract and metabolism,41.1,Females at age 40,44.7,0
Slovenia,A-Alimentary tract and metabolism,41.1,Males at age 40,39.2,0
Slovenia,A02A-Antacids,0.5,Females at age 40,44.7,0
Slovenia,A02A-Antacids,0.5,Males at age 40,39.2,0
Slovenia,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),8.9,Females at age 40,44.7,0
Slovenia,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),8.9,Males at age 40,39.2,0
Slovenia,A10-Drugs used in diabetes,23.2,Females at age 40,44.7,0
Slovenia,A10-Drugs used in diabetes,23.2,Males at age 40,39.2,0
Slovenia,B-Blood and blood forming organs,25.6,Females at age 40,44.7,0
Slovenia,B-Blood and blood forming organs,25.6,Males at age 40,39.2,0
Slovenia,C-Cardiovascular system,66.6,Females at age 40,44.7,0
Slovenia,C-Cardiovascular system,66.6,Males at age 40,39.2,0
Slovenia,C01A-Cardiac glycosides,0.2,Females at age 40,44.7,0
Slovenia,C01A-Cardiac glycosides,0.2,Males at age 40,39.2,0
Slovenia,"C01B-Antiarrhythmics, Class I and III",0.9,Females at age 40,44.7,0
Slovenia,"C01B-Antiarrhythmics, Class I and III",0.9,Males at age 40,39.2,0
Slovenia,C02-Antihypertensives,3.3,Females at age 40,44.7,0
Slovenia,C02-Antihypertensives,3.3,Males at age 40,39.2,0
Slovenia,C03-Diuretics,5.0,Females at age 40,44.7,0
Slovenia,C03-Diuretics,5.0,Males at age 40,39.2,0
Slovenia,C07-Beta blocking agents,7.3,Females at age 40,44.7,0
Slovenia,C07-Beta blocking agents,7.3,Males at age 40,39.2,0
Slovenia,C08-Calcium channel blockers,5.2,Females at age 40,44.7,0
Slovenia,C08-Calcium channel blockers,5.2,Males at age 40,39.2,0
Slovenia,C09-Agents acting on the Renin-Angiotensin system,27.7,Females at age 40,44.7,0
Slovenia,C09-Agents acting on the Renin-Angiotensin system,27.7,Males at age 40,39.2,0
Slovenia,C10-Lipid modifying agents,11.8,Females at age 40,44.7,0
Slovenia,C10-Lipid modifying agents,11.8,Males at age 40,39.2,0
Slovenia,G-Genito urinary system and sex hormones,19.5,Females at age 40,44.7,0
Slovenia,G-Genito urinary system and sex hormones,19.5,Males at age 40,39.2,0
Slovenia,G03-Sex hormones and modulators of the genital system,6.7,Females at age 40,44.7,0
Slovenia,G03-Sex hormones and modulators of the genital system,6.7,Males at age 40,39.2,0
Slovenia,"H-Systemic hormonal preparations, excluding sex hormones and insulins",7.6,Females at age 40,44.7,0
Slovenia,"H-Systemic hormonal preparations, excluding sex hormones and insulins",7.6,Males at age 40,39.2,0
Slovenia,J-Antiinfectives for systemic use,16.3,Females at age 40,44.7,0
Slovenia,J-Antiinfectives for systemic use,16.3,Males at age 40,39.2,0
Slovenia,J01-Antibacterials for systemic use,9.2,Females at age 40,44.7,0
Slovenia,J01-Antibacterials for systemic use,9.2,Males at age 40,39.2,0
Slovenia,M-Musculo-skeletal system,12.9,Females at age 40,44.7,0
