"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2010","2010",295.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2011","2011",304,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2012","2012",295.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2013","2013",353.2,"B; D","Break; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2014","2014",348.6,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2015","2015",350,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2016","2016",436.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2017","2017",406.6,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2018","2018",406,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2019","2019",414.9,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2020","2020",445.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUS","Australia","2021","2021",472.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2010","2010",353.9,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2011","2011",365.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2012","2012",381,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2013","2013",389.9,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2014","2014",408.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2015","2015",424.2,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2016","2016",442.9,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2017","2017",458.7,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2018","2018",474.9,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2019","2019",498,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2020","2020",522.3,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","AUT","Austria","2021","2021",548,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2010","2010",645.2,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2011","2011",652.7,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2012","2012",650.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2013","2013",661.1,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2014","2014",663.1,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2015","2015",686.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2016","2016",705.4,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2017","2017",741.6,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2018","2018",762.9,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2019","2019",857.5,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2020","2020",909.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2021","2021",943.3,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","BEL","Belgium","2022","2022",1085.9,"E","Estimated value"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2012","2012",562.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2013","2013",572.4,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2014","2014",585.2,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2015","2015",608.8,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2016","2016",650.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2017","2017",672.1,"D","Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2018","2018",684.3,"E; B; D","Estimated value; Break; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2019","2019",685.6,"E; D","Estimated value; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2020","2020",731.7,"E; D","Estimated value; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2021","2021",778,"E; D","Estimated value; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CAN","Canada","2022","2022",819.3,"E; D","Estimated value; Difference in methodology"
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2010","2010",568.9,,
"PATCTOTT","Total pharmaceutical sales","PPPPERMT","/capita, US$ purchasing power parity","CZE","Czechia","2011","2011",577.8,,
